index,self_training,co_training,ss_ensemble,unsupervised_labelling,intrinsic
d1_10,68.74,64.89,68.7,65.88,62.89
d1_20,68.1,64.65,67.91,66.85,60.71
d1_50,67.5,62.14,66.94,63.71,58.98
d1_90,58.94,56.86,58.69,58.82,59.45
d1_95,69.38,53.83,70.83,69.23,54.05
d2_10,88.52,88.5,90.63,86.67,88.88
d2_20,88.88,88.67,89.28,88.88,88
d2_50,87.49,88.88,88.23,88.88,90.32
d2_90,85.71,85.71,66.67,100,100
d2_95,100,0,100,100,66.67
d3_10,87.53,87.4,90.2,84.7,86.92
d3_20,87.69,89.2,91.4,89.94,83.83
d3_50,87.15,87.38,88.39,81.08,81.65
d3_90,74.41,79.06,80,95.65,71.12
d3_95,73.68,73.68,79.99,90.9,76.19
Average Ranks,7.6,11,6,8,10.8
