index,self_training,co_training,ss_ensemble,unsupervised_labelling,intrinsic
d1_10,0.6226,0.4579,0.6612,0.6505,0.6006
d1_20,0.6526,0.4746,0.6654,0.5703,0.60144
d1_50,0.581,0.609,0.6268,0.5467,0.559
d1_90,0.4918,0.5185,0.606,0.5714,0.4848
d1_95,0.5714,0.1818,0.7692,0.7368,0.5
d2_10,0.8923,0.8888,0.8749,0.9033,0.9062
d2_20,0.8727,0.8679,0.909,0.8276,0.88
d2_50,0.8823,0.8888,0.88235,0.9411,0.882356
d2_90,0.667,0.7499,0.6667,0.6667,1
d2_95,1,0,1,1,0.666
d3_10,0.8871,0.8733,0.911,0.89,0.8787
d3_20,0.8814,0.8769,0.9011,0.8953,0.8445
d3_50,0.8727,0.8755,0.8818,0.8828,0.813
d3_90,0.8,0.7907,0.7727,0.7058,0.7111
d3_95,0.6667,0.7368,0.8,0.5,0.7
Average Ranks,8.8,10.6,5.2,8.4,10.6
